Section/Column,Task ID,Name,Notes,Estimated Hours,Estimated Days (2h/day),Epic,Priority,Dependencies,Tags
0. Estrategia y definición,T0-1,Congelar alcance MVP y criterio de éxito,"Objetivo: Definir qué entra y qué no entra en el MVP: perfil artista, links, embeds y analytics básico; dejar tienda, EPK, analytics pro, AI y discovery para fases posteriores.

Paso a paso con Claude Code:
1) Pedile a Claude un PRD corto del MVP usando el PDF como fuente. 2) Hacé que lo convierta en 'in-scope / out-of-scope / riesgos / métricas'. 3) Validá que respete el roadmap del documento. 4) Guardá el PRD en /docs/product/mvp.md. 5) Pedile a Claude que derive criterios de aceptación por feature.",3,1.5,Scope,Alta,,"Scope, StageLink, Claude Code"
0. Estrategia y definición,T0-2,Mapear entidades y flujos multi-tenant,"Objetivo: Definir relaciones entre users, artists, pages, blocks, links, analytics, stores y subscriptions; decidir resolución por username y preparar soporte futuro para dominio custom.

Paso a paso con Claude Code:
1) Pedile a Claude un diagrama entidad-relación y flujo de request público. 2) Revisá tenant resolution: username -> artist -> page. 3) Definí ownership user->artist. 4) Guardá ADRs en /docs/adr. 5) Ajustá antes de tocar código.",4,2.0,Arquitectura,Alta,T0-1,"Arquitectura, StageLink, Claude Code"
0. Estrategia y definición,T0-3,Wireframes y catálogo de bloques,"Objetivo: Diseñar el onboarding, dashboard editor, página pública y catálogo inicial de bloques: links, música, video, fan capture.

Paso a paso con Claude Code:
1) Pedile a Claude wireframes low-fi en Markdown/ASCII o pseudo-layouts. 2) Convertí cada pantalla en checklist de componentes shadcn. 3) Definí props mínimas de cada bloque. 4) Cerrá el orden de creación de bloques.",3,1.5,UX,Media,T0-1,"UX, StageLink, Claude Code"
0. Estrategia y definición,T0-4,Armar tablero Asana y backlog inicial,"Objetivo: Crear el proyecto, secciones por etapa, prioridades, dependencias y custom fields de horas/días.

Paso a paso con Claude Code:
1) Importá el CSV generado. 2) Pedile a Claude que te sugiera milestones y dependencias desde el backlog. 3) Marcá bloqueos manuales. 4) Definí una rutina diaria de 2h: build / test / notes.",2,1.0,Gestión,Alta,"T0-1,T0-2,T0-3","Gestión, StageLink, Claude Code"
1. Fundaciones técnicas,T1-1,Crear monorepo y estándares del repo,"Objetivo: Definir workspace para frontend y backend, convenciones de nombres, lint, format, commits y estructura de carpetas.

Paso a paso con Claude Code:
1) Pedile a Claude que inicialice un monorepo pnpm con apps/web y apps/api más packages compartidos. 2) Sumá ESLint, Prettier, Husky y commitlint. 3) Pedile README raíz con scripts. 4) Ejecutá todo y corregí paths rotos.",4,2.0,Repositorio,Alta,T0-2,"Repositorio, StageLink, Claude Code"
1. Fundaciones técnicas,T1-2,Scaffold frontend Next.js + Tailwind + shadcn + i18n shell,"Objetivo: Crear la app web con App Router, diseño base, theme tokens de marca e infraestructura mínima de internacionalización.

Paso a paso con Claude Code:
1) Pedile a Claude una app Next.js TypeScript con Tailwind y shadcn. 2) Definí layout base, navegación marketing/app y theme con colores del PDF. 3) Sumá next-i18n/next-intl según convenga. 4) Revisá hydration, fonts y responsive. 5) Dejás '/[locale]' listo aunque actives 2 idiomas al inicio.",5,2.5,Frontend,Alta,T1-1,"Frontend, StageLink, Claude Code"
1. Fundaciones técnicas,T1-3,Scaffold backend NestJS y módulos base,"Objetivo: Crear API NestJS con módulos de auth, artists, pages, blocks, analytics, billing y common.

Paso a paso con Claude Code:
1) Pedile a Claude una estructura NestJS modular. 2) Sumá config, validation pipe, exception filters y logger. 3) Definí DTOs y carpetas por bounded context. 4) Probá healthcheck y rutas stub. 5) Documentá variables de entorno.",5,2.5,Backend,Alta,T1-1,"Backend, StageLink, Claude Code"
1. Fundaciones técnicas,T1-4,"Configurar entorno local, PostgreSQL y secretos","Objetivo: Levantar Postgres local, plantillas .env, acceso a S3 dev y claves sandbox de WorkOS/Stripe/PostHog/Shopify.

Paso a paso con Claude Code:
1) Pedile a Claude docker-compose para Postgres y quizá Mailhog. 2) Generá .env.example para web y api. 3) Separá secrets dev/staging/prod. 4) Validá arranque de punta a punta.",3,1.5,Infra local,Alta,"T1-1,T1-2,T1-3","Infra local, StageLink, Claude Code"
1. Fundaciones técnicas,T1-5,Deploy preview: Vercel + Railway/Fly + Cloudflare,"Objetivo: Dejar frontend en Vercel, backend en Railway o Fly.io, DNS/proxy/CDN en Cloudflare y variables de entorno por ambiente.

Paso a paso con Claude Code:
1) Pedile a Claude scripts/build configs para Vercel y Railway/Fly. 2) Publicá healthcheck y app preview. 3) Configurá Cloudflare con subdominios api/staging. 4) Probá CORS, cookies y cache headers. 5) Documentá el runbook de deploy.",5,2.5,Deploy,Alta,"T1-2,T1-3,T1-4","Deploy, StageLink, Claude Code"
2. Plataforma core,T2-1,Diseñar schema PostgreSQL y migraciones,"Objetivo: Crear tablas users, artists, pages, blocks, links, analytics, stores, subscriptions y tablas auxiliares; definir índices, unique constraints y soft delete donde aplique.

Paso a paso con Claude Code:
1) Pedile a Claude el schema basado en el PDF y tus ADRs. 2) Revisá cardinalidades y nombres. 3) Generá migraciones y seed mínimo. 4) Probá casos borde: username único, orden de bloques, plan activo. 5) Documentá el modelo.",8,4.0,Database,Alta,"T0-2,T1-3,T1-4","Database, StageLink, Claude Code"
2. Plataforma core,T2-2,Implementar resolución multi-tenant por username y dominio,"Objetivo: Resolver requests públicas a través de slug/username y dejar preparado mapping para custom domains de planes pagos.

Paso a paso con Claude Code:
1) Pedile a Claude middleware/guards/resolvers para tenant context. 2) Implementá lookup por username en web y api. 3) Diseñá tabla/domain mapping para futuro custom domain. 4) Probá colisiones, 404 y caché incorrecta.",8,4.0,Tenanting,Alta,"T2-1,T1-2,T1-3","Tenanting, StageLink, Claude Code"
2. Plataforma core,T2-3,Integrar WorkOS Auth y sesiones,"Objetivo: Agregar login, signup, sesiones, protección de dashboard y mapping entre identidad WorkOS y usuario interno.

Paso a paso con Claude Code:
1) Pedile a Claude integración WorkOS/AuthKit en web y api. 2) Definí callback URLs por ambiente. 3) Guardá user interno con provider_id. 4) Agregá guards para dashboard y ownership checks. 5) Probá login/logout/expired session.",8,4.0,Auth,Alta,"T2-1,T1-2,T1-3","Auth, StageLink, Claude Code"
2. Plataforma core,T2-4,Implementar pipeline S3 para assets,"Objetivo: Subida de avatar, cover e imágenes del EPK a S3 con presigned URLs, validación y pathing por tenant.

Paso a paso con Claude Code:
1) Pedile a Claude un módulo de uploads con presigned URLs. 2) Definí límites, mime types y carpetas s3://tenant/... 3) Subí desde frontend con progress. 4) Probá reemplazo, borrado lógico y ACL/CDN URL.",5,2.5,Storage,Alta,"T2-1,T1-3,T1-4","Storage, StageLink, Claude Code"
2. Plataforma core,T2-5,"Ownership, permisos y auditoría básica","Objetivo: Asegurar que un usuario sólo pueda editar sus artistas/páginas; registrar acciones críticas en logs/audit trail simple.

Paso a paso con Claude Code:
1) Pedile a Claude policies por artist_id y page_id. 2) Aplicá checks en controladores y servicios. 3) Registrá create/update/publish/delete. 4) Escribí tests de acceso no autorizado.",5,2.5,Seguridad base,Alta,"T2-2,T2-3","Seguridad base, StageLink, Claude Code"
3. Constructor MVP,T3-1,Crear onboarding del artista,"Objetivo: Al primer login, crear artist, reservar username, seleccionar tipo de creador y generar página vacía con bloques iniciales.

Paso a paso con Claude Code:
1) Pedile a Claude un wizard corto de 3-4 pasos. 2) Validá username único en tiempo real. 3) Creá artist/page inicial desde backend. 4) Redirigí al dashboard con checklist de setup.",6,3.0,Onboarding,Alta,"T2-2,T2-3","Onboarding, StageLink, Claude Code"
